opposite sign                            	nevts: 771/447/664/585/2467
1	7753	2325233
1	7753	2325257
1	7753	2325260
1	7753	2325264
1	7753	2325282
1	7753	2325289
1	7753	2325304
1	7753	2325308
1	7753	2325313
1	7753	2325322
1	7753	2325324
1	7753	2325336
1	7753	2325346
1	7753	2325358
1	7753	2325364
1	7753	2325365
1	7753	2325388
1	7753	2325404
1	7753	2325453
1	7753	2325499
1	7758	2326739
1	7758	2326742
1	7758	2326747
1	7758	2326757
1	7758	2326785
1	7758	2326788
1	7758	2326804
1	7758	2326808
1	7758	2326825
1	7758	2326831
1	7758	2326850
1	7758	2326859
1	7758	2326860
1	7758	2326861
1	7758	2326871
1	7758	2326872
1	7758	2326883
1	7758	2326885
1	7758	2326894
1	7758	2326905
1	7758	2326915
1	7758	2326927
1	7758	2326943
1	7758	2326945
1	7758	2326949
1	7758	2326952
1	7758	2326971
1	7758	2326973
1	7758	2326989
1	7758	2326990
1	7759	2327064
1	7759	2327067
1	7759	2327087
1	7759	2327102
1	7759	2327106
1	7759	2327123
1	7759	2327124
1	7759	2327128
1	7759	2327130
1	7759	2327134
1	7759	2327156
1	7759	2327158
1	7759	2327159
1	7759	2327194
1	7759	2327205
1	7759	2327207
1	7759	2327256
1	7759	2327257
1	7759	2327268
1	7759	2327291
1	7759	2327293
1	7764	2328530
1	7764	2328536
1	7764	2328537
1	7764	2328563
1	7764	2328573
1	7764	2328583
1	7764	2328614
1	7764	2328615
1	7764	2328617
1	7764	2328619
1	7764	2328640
1	7764	2328655
1	7764	2328662
1	7764	2328670
1	7764	2328688
1	7764	2328690
1	7764	2328696
1	7764	2328709
1	7764	2328717
1	7764	2328719
1	7764	2328770
1	7764	2328785
1	7768	2329721
1	7768	2329722
1	7768	2329732
1	7768	2329734
1	7768	2329782
1	7768	2329787
1	7768	2329795
1	7768	2329801
1	7768	2329813
1	7768	2329825
1	7768	2329826
1	7768	2329828
1	7768	2329830
1	7768	2329848
1	7768	2329877
1	7768	2329887
1	7768	2329890
1	7768	2329895
1	7768	2329903
1	7768	2329913
1	7768	2329924
1	7768	2329925
1	7768	2329931
1	7768	2329946
1	7768	2329950
1	7768	2329954
1	7768	2329958
1	7768	2329967
1	7768	2329968
1	7768	2329991
1	7770	2330309
1	7770	2330338
1	7770	2330344
1	7770	2330357
1	7770	2330358
1	7770	2330378
1	7770	2330408
1	7770	2330411
1	7770	2330431
1	7770	2330437
1	7770	2330440
1	7770	2330450
1	7770	2330459
1	7770	2330460
1	7770	2330474
1	7770	2330477
1	7770	2330490
1	7770	2330491
1	7770	2330497
1	7770	2330505
1	7770	2330512
1	7770	2330520
1	7770	2330530
1	7770	2330551
1	7770	2330565
1	7771	2330612
1	7771	2330631
1	7771	2330638
1	7771	2330643
1	7771	2330644
1	7771	2330650
1	7771	2330656
1	7771	2330669
1	7771	2330700
1	7771	2330704
1	7771	2330710
1	7771	2330714
1	7771	2330726
1	7771	2330738
1	7771	2330740
1	7771	2330743
1	7771	2330755
1	7771	2330757
1	7771	2330767
1	7771	2330769
1	7771	2330790
1	7771	2330801
1	7771	2330804
1	7771	2330810
1	7771	2330811
1	7771	2330813
1	7771	2330865
1	7771	2330880
1	7771	2330899
1	7775	2331801
1	7775	2331809
1	7775	2331811
1	7775	2331842
1	7775	2331845
1	7775	2331872
1	7775	2331880
1	7775	2331884
1	7775	2331886
1	7775	2331901
1	7775	2331930
1	7775	2331943
1	7775	2331951
1	7775	2331959
1	7775	2331963
1	7775	2331975
1	7775	2331979
1	7775	2331982
1	7775	2332022
1	7775	2332032
1	7775	2332034
1	7775	2332040
1	7775	2332041
1	7775	2332045
1	7775	2332051
1	7775	2332067
1	7775	2332083
1	7775	2332097
1	7827	2347403
1	7827	2347417
1	7827	2347418
1	7827	2347427
1	7827	2347436
1	7827	2347439
1	7827	2347451
1	7827	2347457
1	7827	2347460
1	7827	2347465
1	7827	2347468
1	7827	2347477
1	7827	2347478
1	7827	2347493
1	7827	2347495
1	7827	2347497
1	7827	2347498
1	7827	2347501
1	7827	2347513
1	7827	2347523
1	7827	2347524
1	7827	2347534
1	7827	2347539
1	7827	2347557
1	7827	2347568
1	7827	2347592
1	7827	2347598
1	7827	2347603
1	7827	2347607
1	7827	2347627
1	7827	2347630
1	7827	2347631
1	7827	2347632
1	7827	2347647
1	7827	2347650
1	7827	2347652
1	7827	2347662
1	7827	2347689
1	7827	2347698
1	7831	2348610
1	7831	2348613
1	7831	2348618
1	7831	2348620
1	7831	2348624
1	7831	2348641
1	7831	2348655
1	7831	2348660
1	7831	2348690
1	7831	2348711
1	7831	2348723
1	7831	2348730
1	7831	2348740
1	7831	2348773
1	7831	2348774
1	7831	2348781
1	7831	2348785
1	7831	2348789
1	7831	2348809
1	7831	2348810
1	7831	2348819
1	7831	2348825
1	7831	2348827
1	7831	2348834
1	7831	2348862
1	7831	2348868
1	7831	2348874
1	7831	2348900
1	7835	2349814
1	7835	2349825
1	7835	2349838
1	7835	2349841
1	7835	2349855
1	7835	2349863
1	7835	2349868
1	7835	2349870
1	7835	2349871
1	7835	2349872
1	7835	2349881
1	7835	2349884
1	7835	2349892
1	7835	2349900
1	7835	2349911
1	7835	2349923
1	7835	2349927
1	7835	2349929
1	7835	2349948
1	7835	2349953
1	7835	2349977
1	7835	2349980
1	7835	2349981
1	7835	2349985
